,mean_temp
8902,13.3
2578,5.8
438,4.4
10691,6.4
13426,14.3
1614,15.2
4959,21.1
5030,10.4
9187,0.8
8178,15.6
5379,12.6
13261,11.9
13414,12.7
467,10.5
13833,12.2
3751,7.8
10537,9.8
756,6.3
4848,9.9
2929,-1.7
2688,12.4
1090,-0.2
12929,11.3
4716,7.8
3958,11.8
6407,17.3
11490,15.9
1374,11.4
11626,10.9
7425,13.6
12503,1.5
14833,16.2
9527,6.4
12746,6.0
13861,10.1
9846,10.0
2186,1.8
9899,7.0
10157,12.4
8620,17.9
1432,5.4
11828,15.1
10285,8.7
6125,18.2
6695,15.4
13854,6.2
2102,11.4
8161,8.4
9260,12.8
3891,16.1
1995,20.0
2952,-0.4
8348,3.9
13421,14.2
7623,7.8
5040,7.0
15227,18.4
2447,15.0
11997,10.4
14323,4.5
8663,16.6
6925,3.4
10347,15.4
12905,10.6
12733,7.4
7051,15.9
7958,11.7
4294,11.1
11644,8.0
10584,4.9
11361,2.4
134,19.6
14261,6.8
799,12.7
10511,12.8
427,4.0
12960,16.6
15057,8.0
8166,19.4
6158,11.6
13717,20.6
1255,18.2
10330,15.6
7134,15.6
8723,5.8
6384,16.2
10097,18.0
3131,18.7
1926,7.1
6072,22.8
3037,15.1
5712,21.2
12658,18.5
12507,3.5
6778,21.6
12405,5.9
6818,18.4
6188,2.0
5168,5.6
13089,14.3
3746,4.2
7068,18.0
4851,9.0
4455,10.2
14735,9.1
4096,10.0
8419,6.4
11242,12.0
3503,16.0
11213,14.3
9367,19.0
6081,20.8
7800,15.4
2314,9.0
9489,9.4
5399,13.1
2018,18.2
8701,9.3
11326,-2.5
5418,7.8
14388,14.9
10095,16.6
4347,6.2
4514,12.6
4209,18.3
7348,4.4
8978,17.4
12576,15.1
6529,3.4
3448,12.8
8382,5.6
43,4.2
17,0.8
6053,23.7
1883,3.4
10212,4.8
2372,17.2
12810,5.4
6050,22.3
7964,11.0
6180,11.2
4094,14.3
13859,6.9
10094,17.7
8225,16.4
14285,4.1
9985,13.5
14806,19.5
3305,7.7
10579,3.9
443,2.4
9411,11.6
4344,4.6
9843,6.6
12306,18.9
9898,4.2
13384,14.8
14092,17.4
430,7.4
8486,7.2
10952,3.9
2328,15.3
5758,11.0
577,18.0
4233,26.9
684,12.4
5576,7.2
3785,11.1
4816,6.8
761,1.6
13394,13.0
5380,12.4
796,10.0
14196,5.3
8062,4.0
8029,4.1
9703,17.0
12800,7.9
12570,14.4
9176,7.2
10890,8.9
14244,10.3
7975,9.3
11187,18.9
1654,24.6
7540,17.2
9514,4.6
11603,16.9
591,20.9
12601,14.8
2392,15.4
2221,6.6
8660,15.5
4580,15.9
9997,14.6
7625,4.6
14929,6.5
8139,7.0
12378,10.8
6104,16.2
4702,5.6
9016,16.2
11291,5.9
12413,6.9
8517,10.2
14904,11.2
15288,13.2
13104,8.7
4504,6.8
3540,16.9
14273,11.8
13288,10.0
1160,5.2
12295,15.7
7286,10.9
11945,14.2
12108,9.8
5948,11.2
13758,19.0
6095,17.4
7506,17.2
7770,8.0
1329,18.2
4936,16.4
6739,15.5
3772,10.6
13135,12.4
10018,15.5
1886,7.8
623,16.8
7163,19.4
1339,13.2
15291,11.5
5032,10.4
13890,8.3
3080,12.0
3794,20.6
1501,-0.2
4387,6.2
12815,5.6
9549,2.7
5799,9.0
11875,17.4
13632,6.4
2532,8.2
14371,19.6
13711,21.6
12603,18.7
8294,13.6
8689,10.5
11943,16.1
8344,8.2
5849,4.8
10263,2.5
4238,20.6
14354,18.8
11385,5.0
1472,8.9
6101,14.5
6933,10.4
849,10.3
9589,13.2
6827,15.5
6954,8.5
5023,13.3
2210,0.9
10820,17.2
3526,18.4
3202,11.2
7785,13.0
13766,19.8
5836,0.0
6802,23.2
3424,14.0
414,7.6
6075,23.8
8377,4.3
7247,5.1
8205,16.6
12279,21.2
2094,10.9
6021,19.5
9747,19.8
5219,10.6
2340,14.2
265,9.5
11091,15.0
12177,8.6
13549,10.2
5278,15.0
11940,20.0
10747,16.1
3542,13.3
11195,18.8
8732,10.8
14799,20.6
2142,13.0
3851,19.7
7953,9.8
1082,-0.3
1671,23.8
11369,3.0
14096,17.7
9661,14.5
12833,7.6
1503,2.0
1971,10.6
7222,12.7
3798,15.1
694,7.0
3855,27.0
12129,9.2
10311,9.8
12071,9.7
9554,1.8
6393,15.4
3094,13.2
12225,17.2
6306,8.4
14679,6.7
13982,10.6
4993,17.2
8939,19.6
3244,10.4
3100,21.0
6605,4.4
3563,12.6
9822,4.4
6275,3.6
11648,6.3
14318,10.7
14202,6.8
13038,18.2
8936,17.2
14114,19.1
15278,15.2
14010,14.8
7012,6.8
12107,11.9
4877,11.4
3231,6.0
10850,14.5
11887,15.3
2484,10.6
8957,19.2
7740,10.5
952,17.0
12047,11.5
10130,16.5
3409,12.4
5767,11.2
1718,15.8
13147,0.8
10413,17.4
4519,10.3
12489,1.4
10496,10.8
11026,9.4
5464,7.6
11391,4.1
2564,1.8
5012,15.4
1146,1.2
1937,14.8
9669,21.6
1031,7.1
3884,21.0
12827,6.2
13326,18.4
8371,4.4
13870,6.7
7676,7.2
8404,1.8
3858,23.4
96,5.8
13841,7.2
3130,17.4
2474,14.6
3931,10.6
2627,3.8
3773,12.8
5456,8.2
2239,1.2
11177,18.6
7142,17.8
11961,20.9
6422,17.8
11292,4.5
3027,11.6
8827,5.4
2389,16.1
11988,12.5
14755,17.6
1592,10.5
2391,15.6
3082,11.3
14572,8.0
14193,10.4
4682,10.8
8452,6.2
11992,13.7
10712,8.4
4935,18.4
15119,16.5
2901,5.2
4099,8.2
12343,12.7
12530,11.0
2540,11.3
12523,13.2
8759,10.8
10423,19.8
2354,13.3
6128,17.8
4609,19.8
10282,8.1
12571,13.5
4184,16.2
12823,7.5
2576,6.2
12275,20.9
9811,13.5
13647,14.4
9473,8.0
5550,9.1
10456,16.8
1281,17.0
13903,3.8
8113,4.2
13639,13.3
6760,16.6
6560,6.7
13783,14.2
6808,22.5
8889,14.7
7219,11.5
415,6.4
9027,17.8
13701,16.6
710,10.0
10701,8.7
3528,14.6
4503,8.2
2528,13.6
12616,25.0
7497,19.5
9050,12.7
2893,11.6
11272,7.9
15088,15.3
4540,13.5
10434,17.7
12299,19.5
4091,9.6
12702,10.9
2888,6.2
12475,3.7
1523,4.5
14651,5.5
5438,0.6
12585,14.9
1406,11.1
8132,8.5
4896,21.2
11301,8.1
5381,11.8
6517,14.0
1811,7.2
13619,11.1
13769,18.2
11264,11.2
10500,12.9
12284,24.0
4553,14.8
10858,14.6
