,mean_temp
14091,17.9
430,7.4
7223,13.6
12410,10.3
2328,15.3
12767,8.9
577,18.0
4233,26.9
684,12.4
5620,13.8
3785,11.1
4536,10.8
761,1.6
8471,8.6
7150,17.8
796,10.0
4721,6.8
5938,12.1
13231,7.7
11295,5.5
12799,9.0
12569,16.7
9680,16.6
9757,12.2
7685,4.7
7420,14.0
13195,4.2
1654,24.6
13487,10.4
12902,12.8
11602,13.3
591,20.9
10071,21.5
2392,15.4
2221,6.6
14084,16.8
10968,2.6
13368,20.6
7623,7.8
14815,28.8
8137,9.9
14417,15.8
4502,7.8
12399,-1.9
9015,14.4
11290,6.9
5532,2.4
8746,4.1
5598,16.1
15287,11.3
5557,4.6
7383,7.1
3540,16.9
6029,20.3
13287,11.0
1160,5.2
12294,17.1
7284,9.0
10252,2.6
12107,11.9
11616,6.0
11484,16.6
12137,10.6
9575,11.0
7768,9.6
1329,18.2
5821,6.6
5221,12.4
3772,10.6
13134,7.3
7603,11.1
1886,7.8
623,16.8
12686,17.2
1339,13.2
15166,16.0
5440,-0.8
8962,21.6
3080,12.0
3794,20.6
1501,-0.2
9679,19.2
14139,12.8
9548,3.3
10887,8.8
11874,16.9
7139,17.4
2532,8.2
7447,15.0
12409,10.0
12602,17.9
8293,14.8
11708,2.1
6945,6.6
8343,8.4
8940,17.4
14696,11.6
4238,20.6
14070,21.1
10696,7.5
1472,8.9
10318,12.2
9955,5.7
849,10.3
9983,10.1
6825,15.8
11149,18.1
6400,19.6
2210,0.9
10819,15.6
3526,18.4
3202,11.2
13889,6.1
13765,19.4
14853,16.4
4884,15.9
3424,14.0
414,7.6
9704,15.1
9295,18.6
14340,10.4
8903,13.8
12278,19.2
2094,10.9
8979,18.7
9746,19.8
5217,8.6
2340,14.2
265,9.5
7514,21.2
4602,19.3
5425,8.8
6717,11.8
7590,10.2
13710,15.9
3542,13.3
4688,12.6
13733,22.2
14798,18.2
2142,13.0
3851,19.7
7926,17.4
1082,-0.3
1671,23.8
8034,-1.1
6335,9.1
4667,15.0
12832,9.3
1503,2.0
1971,10.6
5107,1.8
3798,15.1
694,7.0
3855,27.0
12128,6.7
14658,8.4
12441,1.0
9553,2.6
8568,20.6
3094,13.2
8842,7.8
11923,17.9
10189,10.4
6307,9.4
4991,13.6
7625,4.6
3244,10.4
3100,21.0
5460,7.4
3563,12.6
15065,7.0
8317,13.8
11647,6.3
14317,7.4
13366,18.8
13037,14.4
8935,20.6
14113,19.4
4653,10.4
14009,12.1
9740,20.6
12106,12.6
9158,2.3
3231,6.0
10210,11.6
12248,15.2
2484,10.6
8956,22.8
5614,12.3
952,17.0
12694,16.3
10129,17.6
3409,12.4
8809,2.0
1718,15.8
11919,17.8
13615,11.6
7713,7.4
5960,8.8
11571,17.6
11025,6.9
10133,17.9
11390,5.0
2564,1.8
14014,15.2
1146,1.2
1937,14.8
9164,13.4
1031,7.1
3884,21.0
13953,13.0
8375,5.8
8370,11.2
8124,8.0
14921,4.3
8403,1.2
3858,23.4
96,5.8
13840,10.2
3130,17.4
2474,14.6
3931,10.6
2627,3.8
3773,12.8
8654,16.2
2239,1.2
